States,abbrv,State Rank,State Score,State Rating,SDG01, SDG01_color, SDG01_RANK, SDG02, SDG02_color, SDG02_RANK, SDG03, SDG03_color, SDG03_RANK, SDG04, SDG04_color, SDG04_RANK, SDG05, SDG05_color, SDG05_RANK, SDG06, SDG06_color, SDG06_RANK, SDG07, SDG07_color, SDG07_RANK, SDG08, SDG08_color, SDG08_RANK, SDG09, SDG09_color, SDG09_RANK, SDG10, SDG10_color, SDG010_RANK, SDG11, SDG11_color, SDG11_RANK, SDG12, SDG12_color, SDG012_RANK, SDG13, SDG13_color, SDG013_RANK, SDG15, SDG15_color, SDG015_RANK, SDG16, SDG16_color, SDG016_RANK,01.01_affordablehousing,01.01_affordablehousing_RATING,01.02_doccost,01.02_doccost_RATING,01.03_famleave,01.03_famleave_RATING,01.04_perpovline,01.04_perpovline_RATING,01.05_sickleave,01.05_sickleave_RATING,01.06_TANFpov,01.06_TANFpov_RATING,01.07_workingpoor,01.07_workingpoor_RATING,02.01_elderfood,02.01_elderfood_RATING,02.02_fooddesert,02.02_fooddesert_RATING,02.03_foodinsc,02.03_foodinsc_RATING,02.04_obesity,02.04_obesity_RATING,02.05_pesticide,02.05_pesticide_RATING,02.06_ruralinfra,02.06_ruralinfra_RATING,02.07_WICcoverage,02.07_WICcoverage_RATING,03.01_fertilityrate,03.01_fertilityrate_RATING,03.02_HIVrate,03.02_HIVrate_RATING,03.03_hpsa,03.03_hpsa_RATING,03.04_infantmort,03.04_infantmort_RATING,03.05_lifeexp,03.05_lifeexp_RATING,03.06_matmort,03.06_matmort_RATING,03.07_NCD,03.07_NCD_RATING,03.08_overdose,03.08_overdose_RATING,03.09_SmokingRate,03.09_SmokingRate_RATING,03.10_suicide,03.10_suicide_RATING,03.11_TB,03.11_TB_RATING,03.12_trafficdeath,03.12_trafficdeath_RATING,03.13_vaxcombo,03.13_vaxcombo_RATING,03.14_wellbeing,03.14_wellbeing_RATING,04.01_bachelors,04.01_bachelors_RATING,04.02_collegedebt,04.02_collegedebt_RATING,04.03_CTE,04.03_CTE_RATING,04.04_hsgradrate,04.04_hsgradrate_RATING,04.05_preschool,04.05_preschool_RATING,04.06_BasicReading,04.06_BasicReading_RATING,05.01_contradesertpov,05.01_contradesertpov_RATING,05.02_fem_laborforce,05.02_fem_laborforce_RATING,05.03_hatecrimelaw,05.03_hatecrimelaw_RATING,05.04_pergovwomen,05.04_pergovwomen_RATING,05.05_sexualviolence,05.05_sexualviolence_RATING,05.06_wagegap,05.06_wagegap_RATING,05.07_wbusiness,05.07_wbusiness_RATING,06.01_DamSafety,06.01_DamSafety_RATING,06.02_IncompletePlumbing,06.02_IncompletePlumbing_RATING,06.03_waterstress,06.03_waterstress_RATING,06.04_WaterViolations,06.04_WaterViolations_RATING,07.01_co2intensity_mt,07.01_co2intensity_mt_RATING,07.02_EnergyBurden,07.02_EnergyBurden_RATING,07.03_EnergyEfficiency,07.03_EnergyEfficiency_RATING,07.04_RenewableConsum,07.04_RenewableConsum_RATING,07.05_RenewableProduction,07.05_RenewableProduction_RATING,08.01_banking,08.01_banking_RATING,08.02_employdiscrim,08.02_employdiscrim_RATING,08.03_employment,08.03_employment_RATING,08.04_neets,08.04_neets_RATING,08.05_realGDPgrowth,08.05_realGDPgrowth_RATING,08.06_unbanked,08.06_unbanked_RATING,08.07_unemployment,08.07_unemployment_RATING,08.08_workfatality,08.08_workfatality_RATING,09.01_article_output,09.01_article_output_RATING,09.02_broadband,09.02_broadband_RATING,09.03_DeficientBridges,09.03_DeficientBridges_RATING,09.04_internetuse,09.04_internetuse_RATING,09.05_Patents,09.05_Patents_RATING,09.06_PoorRoads,09.06_PoorRoads_RATING,09.07_RDperGDP,09.07_RDperGDP_RATING,09.08_STEMjobs,09.08_STEMjobs_RATING,10.01_disabilitysupport,10.01_disabilitysupport_RATING,10.02_gini,10.02_gini_RATING,10.03_hateconcen,10.03_hateconcen_RATING,10.04_PollutionBurden,10.04_PollutionBurden_RATING,10.05_racismindex,10.05_racismindex_RATING,10.06_uninsured,10.06_uninsured_RATING,11.01_Commute,11.01_Commute_RATING,11.02_Overcrowding,11.02_Overcrowding_RATING,11.03_ParkAccess,11.03_ParkAccess_RATING,11.04_pm25,11.04_pm25_RATING,11.05_rentgrapi,11.05_rentgrapi_RATING,12.01_ChemicalPollution,12.01_ChemicalPollution_RATING,12.02_Leadcapita,12.02_Leadcapita_RATING,12.03_NOcapita,12.03_NOcapita_RATING,12.04_RecyclingIndex,12.04_RecyclingIndex_RATING,12.05_SO2capita,12.05_SO2capita_RATING,12.06_VOCcapita,12.06_VOCcapita_RATING,13.01_BuildingCodes,13.01_BuildingCodes_RATING,13.02_ClimAlliance,13.02_ClimAlliance_RATING,13.03_ClimateAware,13.03_ClimateAware_RATING,13.04_ClimatePlan,13.04_ClimatePlan_RATING,13.05_co2_capita,13.05_co2_capita_RATING,13.06_co2price,13.06_co2price_RATING,13.07_FEMAcoverage,13.07_FEMAcoverage_RATING,13.08_weathercosts,13.08_weathercosts_RATING,13.09_weatherinjury,13.09_weatherinjury_RATING,15.01_forest_change,15.01_forest_change_RATING,15.02_InvasiveManagement,15.02_InvasiveManagement_RATING,15.03_noncarbonfootprint,15.03_noncarbonfootprint_RATING,15.04_ProtectedArea,15.04_ProtectedArea_RATING,16.01_IncarcerationRate,16.01_IncarcerationRate_RATING,16.02_integrity,16.02_integrity_RATING,16.03_JailAdmission,16.03_JailAdmission_RATING,16.04_JusticeIndex,16.04_JusticeIndex_RATING,16.05_LegalClimate,16.05_LegalClimate_RATING,16.06_murderrate,16.06_murderrate_RATING,16.07_voting,16.07_voting_RATING
Hawaii,HI,13,54.2,2,35.3,0,11,51.7,2,9,67.6,2,8,37.9,0,39,43.9,2,4,74.4,3,21,59.9,0,9,61.1,2,17,26.5,0,45,65.0,2,1,45.9,0,14,77.8,1,18,70.2,0,9,57.4,0,26,38.5,1,19,35,0,7.4,2,0,0,9.3,3,0,0,38.1,1,1.5,3,4.7,3,25.5,0,8.7,2,24.2,3,26.7,2,54.3,1,51.6,1,19.2,2,233.1,2,69.8,2,5.7,1,81.3,3,0.30,1,321.7,2,11.3,2,13.1,3,13.0,2,8.1,0,8.3,2,84.8,2,63.4,3,30.7,1,50,3,66.2,0,82.7,1,46.5,1,68.1,0,100.0,0,95.0,2,4,3,28.9,1,33.3,1,83.5,2,42.4,2,96.8,3,0.65,2,NA,4,4.9,3,0.728,0,19,0,3.9,3,10.2,1,100.0,3,3.2,0,20.4,2,72.7,1,10.9,2,1.84,2,2.4,3,4.7,2,3.9,2,685.6,1,73.4,3,5.7,2,76.3,0,6.0,0,39,0,0.8,1,4.3,0,81.2,3,0.442,1,0.00,3,1.3,2,28.5,2,3.5,3,12.2,3,9.1,0,83,3,5.9,3,55.6,0,458.1,2,0.0023,2,35.7,1,2,1,13.6,1,60.1,1,0,0,1,3,78.5,3,1,3,13.0,0,0.0,0,100.0,3,0.0001,3,0.46,3,-15.8,0,1.00,3,NA,4,12.5,2,NA,4,69,1,NA,4,62.2,3,70.0,2,2.5,1,47.3,0
Idaho,ID,18,50.6,2,15.2,0,41,41.9,1,20,62.6,2,17,37.5,0,40,20.6,0,44,73.0,3,24,70.3,2,5,67.6,2,12,54.1,2,13,34.5,0,38,46.0,2,13,71.8,1,27,43.9,0,35,81.2,2,2,38.7,1,17,34,0,14.1,1,0,0,14.4,1,0,0,7.1,0,3.4,1,4.7,3,19.1,1,12.1,1,27.2,2,42.8,0,62.7,2,47.6,0,20.1,2,79.2,3,48.4,0,5.6,1,79.1,2,0.34,1,337.5,2,14.2,2,14.5,2,19.7,0,0.5,3,13.1,1,82.7,2,62.8,3,26.3,0,66,0,95.2,3,79.7,0,33.8,0,81.1,2,92.0,0,90.8,0,2,1,30.5,2,40.5,0,75.9,1,39.0,1,96.5,3,0.55,2,0.260,3,19.7,2,0.117,3,31,0,8.9,1,27.4,3,100.0,3,4.5,2,5.5,3,72.9,1,12.1,1,2.83,3,3.6,2,4.8,2,4.7,2,627.0,1,62.0,1,9.2,2,83.9,3,26.3,3,15,2,3.4,2,6.0,2,59.4,1,0.450,0,0.71,0,0.7,2,36.1,2,10.1,1,4.6,0,2.7,2,52,2,5.9,3,45.9,1,559.6,2,0.0042,1,49.8,1,2,1,5.6,3,132.1,0,73,2,0,0,64.9,1,0,0,10.8,0,0.0,0,79.9,1,0.0794,2,0.48,3,0.7,1,1.00,3,34.1,2,13.8,3,1022.6,0,62,1,6257.8,0,36.5,1,75.0,3,2.9,1,62.1,1
Illinois,IL,22,49.2,1,22.0,0,30,47.5,1,14,60.8,2,20,50.9,2,16,41.6,2,6,80.7,2,8,37.8,1,32,47.7,2,33,55.1,2,11,32.0,0,45,45.3,2,17,77.1,1,20,56.0,0,22,49.2,2,35,35.0,0,26,32,0,11.2,1,0,0,13.0,2,0,0,15.8,0,2.6,2,7.1,2,17.8,1,11.1,1,31.1,1,20.4,3,64.0,2,48.1,0,18.7,2,330.1,1,57.4,1,6.7,0,79.1,2,0.32,1,393.6,2,14.1,2,15.8,2,9.9,3,2.6,1,7.4,2,84.0,2,61.1,1,41.7,3,61,1,68.9,1,85.5,2,57.4,2,77.5,2,99.8,0,94.8,2,4,3,35.6,2,36.6,1,79.3,1,40.6,2,82.3,2,0.28,3,0.345,2,6.1,2,0.385,2,36,0,5.7,2,6.4,1,12.5,1,4.3,2,39.6,1,74.4,2,11.9,2,0.99,1,7.1,1,6.8,1,3.9,2,1000.8,3,67.4,2,8.4,2,84.2,3,19.0,2,18,2,2.1,1,5.8,1,55.8,0,0.481,0,0.25,2,1.9,2,67.8,0,6.5,2,12.9,3,2.5,2,59,2,10.2,0,48.6,1,1973.2,0,0.0020,2,32.0,1,3,2,13.5,1,28.0,2,52,1,0,0,72.6,3,1,3,17.0,0,0.0,0,87.2,2,0.0542,2,0.67,2,2.7,2,1.00,3,98.3,1,2.6,0,751.1,0,67,1,3829.7,0,53.0,3,59.1,0,8.2,0,63.8,1
Indiana,IN,41,39.9,0,18.8,0,36,31.3,1,41,49.3,1,34,54.6,2,9,16.5,1,48,61.8,2,40,23.3,0,44,54.8,2,27,49.5,2,23,42.6,1,19,29.9,0,47,53.2,0,46,31.0,0,47,52.1,1,33,29.0,0,33,38,0,12.6,1,0,0,14.1,1,0,0,7.2,0,2.9,1,9.9,0,21.4,1,15.2,1,32.0,1,33.6,1,59.0,2,48.4,0,23.5,1,195.7,2,78.4,2,7.3,0,77.2,1,0.35,1,459.6,1,19.5,1,21.1,1,14.1,2,1.5,2,10.6,2,81.8,1,60.4,1,30.6,1,59,1,99.6,3,86.8,2,42.6,1,79.5,2,98.9,0,94.5,1,1,0,20.0,1,37.5,1,74.1,1,39.1,1,31.6,0,0.30,3,0.442,2,10.5,2,0.837,0,33,0,9.6,1,5.9,1,22.9,1,4.3,2,38.2,1,74.1,2,11.6,2,1.92,2,4.8,2,5.6,1,5.1,1,977.3,2,62.4,1,8.0,2,79.7,1,19.5,2,8,3,2.3,2,4.9,1,72.2,2,0.453,0,0.39,1,1.4,2,46.4,1,8.1,1,3.7,0,1.8,2,26,0,9.7,1,46.1,1,3628.4,0,0.0053,0,54.6,0,3,2,47.6,0,38.9,2,66,2,0,0,64.1,0,0,0,28.5,0,0.0,0,46.9,0,0.0071,3,0.52,2,0.9,1,1.00,3,77.9,1,2.8,0,1066.8,0,62,1,5245.4,0,26.9,0,71.9,2,6.6,0,58.3,1
Iowa,IA,17,51.2,2,28.6,0,16,38.3,1,28,67.7,2,7,53.4,2,13,31.0,1,27,63.2,2,36,53.8,2,13,81.1,3,3,41.7,2,31,44.9,0,14,39.2,1,28,70.2,0,32,53.7,0,25,56.1,0,28,44.9,1,9,39,0,7.7,2,0,0,11.8,2,0,0,21.9,0,2.4,2,6.3,2,18.1,1,10.7,1,31.6,1,37.3,1,56.0,1,47.2,0,17.2,2,93.5,3,62.2,1,5.0,2,79.5,2,0.25,2,389.3,2,10.3,3,16.7,2,13.6,2,1.5,2,10.1,2,84.0,2,61.7,2,34.5,2,65,1,84.2,2,91.3,3,48.1,1,80.8,2,92.5,0,95.4,2,3,2,23.3,1,33.3,1,76.5,1,37.8,1,30.4,0,0.29,3,0.285,3,11.6,2,0.554,1,40,0,9.6,1,27.7,3,92.9,3,5.7,3,6.1,3,79.5,3,8.4,3,2.19,2,4.2,2,3.6,3,5.5,1,835.5,2,63.0,1,20.5,0,85.2,3,17.3,2,18,2,1.9,1,4.9,1,58.8,0,0.445,1,0.13,2,1.5,2,59.1,0,4.3,3,5.2,1,1.9,2,33,1,7.8,2,44.4,1,531.7,2,0.0032,1,60.8,0,2,1,27.1,0,55.4,2,72,2,0,0,66.9,1,1,3,24.3,0,0.0,0,99.1,3,0.1649,0,0.46,3,-3.0,0,1.00,3,31.4,2,1.3,0,622.2,0,67,1,6215.0,0,36.6,1,72.6,2,2.3,2,63.4,1
Kansas,KS,27,46.5,1,22.5,0,29,32.0,1,39,57.1,1,24,50.9,2,15,31.4,1,25,77.0,3,18,38.7,1,30,63.3,2,15,42.8,1,29,42.8,1,18,39.4,1,27,66.1,0,35,35.2,0,40,64.8,2,15,33.7,0,29,44,1,11.7,1,0,0,12.1,2,0,0,10.3,0,3.0,1,6.3,2,23.3,1,14.5,1,30.9,1,38.8,1,53.0,1,46.2,0,21.9,1,118.6,2,51.3,1,6.8,0,78.5,2,0.34,1,400.8,2,11.8,2,17.2,1,15.6,1,1.0,2,12.1,1,83.5,2,61.2,1,35.6,2,60,1,83.4,2,85.7,2,45.5,1,78.6,2,99.6,0,94.9,2,3,2,28.5,1,35.3,1,77.4,1,38.1,1,85.9,3,0.39,3,0.140,3,15.9,2,0.540,1,30,0,7.9,1,13.7,2,21.1,1,5.7,3,23.2,2,76.2,2,11.0,2,1.03,1,7.6,1,4.2,3,5.0,2,786.9,1,64.3,1,8.6,2,79.4,1,14.6,1,13,2,1.8,1,5.5,1,70.9,2,0.455,0,0.24,2,1.5,2,51.2,1,8.7,1,3.2,0,2.1,2,39,1,7.3,2,43.7,1,222.8,2,0.0033,1,88.1,0,1,0,13.5,1,91.3,1,2,0,0,0,65.3,1,0,0,21.7,0,0.0,0,99.7,3,0.0362,3,0.61,2,1.0,1,1.00,3,22.9,3,<1,0,824.4,0,59,0,7783.2,0,30.2,1,71.5,2,3.8,0,61.3,1
Kentucky,KY,44,37.1,0,19.1,0,35,25.0,0,43,34.5,0,44,43.6,1,31,25.4,1,35,52.0,2,46,17.2,0,48,41.6,1,38,34.3,1,39,43.0,0,16,33.0,1,38,58.2,0,42,46.4,0,32,59.1,0,24,23.5,0,42,57,2,12.1,1,0,0,18.5,0,0,0,20.3,0,3.5,1,10.8,0,15.7,2,17.3,0,34.0,0,45.5,0,59.7,2,53.4,1,30.9,0,179.6,2,61.0,1,6.8,0,75.8,0,0.34,1,562.4,0,29.9,0,24.5,0,16.0,1,1.5,2,14.2,1,83.8,2,59.8,0,27.3,1,63,1,79.3,1,88.6,2,45.0,1,77.9,2,96.0,0,94.7,2,3,2,16.7,0,39.1,1,79.7,1,36.5,1,65.5,1,0.47,3,0.093,3,53.0,0,0.900,0,32,0,10.1,1,5.1,1,4.4,0,4.6,2,20.5,2,67.7,0,13.5,1,0.95,1,9.0,1,6.2,1,5.5,1,745.0,1,61.7,1,8.1,2,77.5,1,12.8,1,8,3,1.0,1,3.9,0,72.3,2,0.481,0,0.52,0,1.7,2,34.1,2,5.1,2,3.7,0,2.0,2,29,1,8.8,1,45.2,1,1352.1,1,0.0024,2,58.9,0,1,0,46.2,0,61.2,1,77,2,0,0,62.4,0,1,3,29.4,0,0.0,0,69.8,0,0.0097,3,0.75,2,-0.2,0,1.00,3,38.1,2,1.4,0,1110.3,0,67,1,10099.6,0,38.3,1,61.7,0,5.9,0,57.0,1
Louisiana,LA,50,31.2,0,5.3,0,50,19.5,0,48,27.6,0,49,28.7,0,49,28.4,0,30,70.7,2,25,18.2,0,47,20.3,0,49,24.7,0,47,32.7,1,43,31.0,0,43,46.6,0,47,33.3,0,44,68.0,2,12,12.4,0,50,46,1,17.6,0,0,0,20.2,0,0,0,4.2,0,4.7,0,14.1,0,22.7,1,18.3,0,35.3,0,34.2,1,46.3,1,50.8,1,30.6,0,504.7,0,68.2,2,8.4,0,75.6,0,0.50,0,522.4,0,19.0,1,22.8,1,13.3,2,3.0,1,15.0,0,78.1,0,58.9,0,26.4,0,50,3,60.7,0,78.6,0,52.6,2,66.0,0,95.4,0,95.3,2,3,2,14.6,0,29.5,2,69.5,0,41.3,2,100.0,3,0.38,3,0.042,3,41.1,0,0.494,1,31,0,20.6,0,3.5,0,4.9,0,4.2,2,36.3,1,66.6,0,17.0,0,-0.13,0,14.0,0,6.3,1,7.5,0,740.0,1,57.5,0,13.5,1,79.5,1,9.5,1,26,1,0.5,0,3.6,0,67.5,1,0.499,0,0.30,2,2.2,1,48.0,1,10.3,1,3.6,0,2.4,2,27,1,7.8,2,54.5,0,3305.4,0,0.0032,1,72.5,0,1,0,34.7,0,101.7,0,86,2,0,0,65.5,1,0,0,46.7,0,0.0,0,99.2,3,0.8091,0,0.95,2,1.8,2,1.00,3,40.5,2,5.2,1,1527.2,0,59,0,9151.8,0,29.2,1,56.6,0,11.8,0,61.6,1
Maine,ME,7,55.4,2,27.3,0,18,37.2,1,30,59.6,2,21,58.5,2,5,38.3,0,14,75.4,3,19,71.9,2,4,72.4,2,10,31.9,1,41,47.7,1,10,38.9,1,30,84.6,2,8,64.2,2,15,69.4,2,9,53.4,0,3,46,1,10.8,1,0,0,12.5,2,0,0,21.7,0,2.2,2,6.9,2,12.9,2,16.4,0,29.1,2,41.0,0,54.9,1,51.3,1,14.7,2,128.5,2,42.3,0,6.3,1,79.0,2,0.18,3,382.8,2,21.2,1,19.8,1,16.0,1,1.0,2,11.9,1,84.2,2,61.6,2,34.0,2,55,2,89.8,2,87.0,2,47.3,1,81.1,2,77.2,0,96.9,3,3,2,33.9,2,40.3,0,84.0,2,34.7,0,100.0,3,0.76,2,0.021,3,12.1,2,0.222,3,38,0,7.9,1,36.5,3,100.0,3,5.6,3,2.3,3,74.6,2,9.9,2,1.06,1,2.3,3,4.9,2,4.1,2,397.9,0,69.8,2,14.4,1,83.9,3,8.5,1,21,1,0.9,1,4.7,1,73.0,2,0.452,0,0.23,2,0.9,2,50.1,1,8.0,1,5.1,1,1.7,2,17,0,6.4,2,46.6,1,307.8,2,0.0028,2,35.8,1,3,2,7.7,2,40.2,2,79,2,0,0,69.2,2,1,3,12.6,0,3.8,1,99.5,3,0.0038,3,0.14,3,-0.5,0,1.00,3,18.7,3,4.7,1,453.9,0,59,0,4667.1,0,48.8,2,73.2,2,1.5,2,72.7,2
Maryland,MD,8,55.1,2,45.1,0,8,53.2,2,5,53.2,1,29,54.1,2,10,45.9,2,3,73.1,3,23,40.7,1,28,56.3,2,22,65.1,2,6,39.4,1,27,48.8,2,8,83.6,2,11,79.6,2,2,45.6,1,39,42.2,0,15,34,0,10.8,1,0,0,9.7,3,1,3,30.0,0,1.5,3,5.5,2,19.6,1,10.1,1,29.4,2,32.1,2,85.4,3,63.5,2,15.9,2,657.8,0,47.2,0,7.1,0,79.2,2,0.44,0,384.7,2,20.9,1,13.7,3,9.3,3,3.4,1,8.4,2,84.9,2,61.3,1,41.5,3,54,2,69.0,1,87.6,2,47.7,1,76.2,2,98.6,0,95.8,2,4,3,32.4,2,38.2,1,83.6,2,43.1,2,97.5,3,0.32,3,0.087,3,36.4,1,0.499,1,31,0,4.3,2,5.4,1,20.4,1,3.6,1,38.1,1,76.6,2,10.8,2,1.41,1,4.8,2,5.5,2,3.9,2,1008.0,3,74.3,3,5.8,2,81.3,2,9.4,1,24,1,5.6,3,9.3,3,76.6,2,0.450,1,0.30,2,3.5,0,49.7,1,6.1,2,11.6,3,2.3,2,64,3,9.0,1,48.9,1,585.4,2,0.0010,3,21.1,2,2,1,7.4,2,18.9,3,68,2,1,3,75.1,3,1,3,9.9,0,3.8,1,98.2,3,0.0018,3,0.26,3,0.1,1,1.00,3,296.0,0,3.5,1,757.3,0,64,1,2478.9,0,60.4,3,70.8,2,8.0,0,65.8,2
Massachusetts,MA,1,61.0,2,50.0,2,5,56.3,2,4,74.2,2,2,63.5,2,1,37.3,2,16,77.9,3,14,51.8,2,14,71.4,2,11,70.8,2,2,41.8,2,22,63.1,2,1,86.0,2,7,65.4,0,12,46.9,1,38,59.2,2,1,46,1,8.8,2,0,0,10.4,3,1,3,37.6,1,1.3,3,7.4,2,25.2,0,10.3,1,23.0,3,19.0,3,72.5,3,56.8,1,8.5,3,338.4,1,38.7,0,4.6,2,80.4,3,0.15,3,304.1,3,25.7,0,13.6,3,8.5,3,3.1,1,5.6,3,93.3,3,62.5,2,51.3,3,60,1,78.6,1,87.5,2,59.7,2,82.9,3,99.7,0,96.3,3,4,3,24.5,1,34.2,1,82.2,2,35.8,1,97.9,3,0.34,3,0.052,3,26.5,1,0.397,2,30,0,3.3,3,5.7,1,52.7,2,4.2,2,7.4,3,77.3,3,8.0,3,1.88,2,5.7,2,5.7,1,2.4,3,1387.5,3,76.8,3,9.3,1,75.6,0,28.6,3,16,2,5.9,3,9.0,3,70.9,2,0.479,0,0.18,2,3.2,1,54.6,1,2.5,3,15.6,3,1.9,2,67,3,6.2,2,49.6,1,339.5,2,0.0011,2,17.1,3,2,1,2.5,3,19.4,3,23,0,1,3,73.9,3,1,3,9.7,0,3.8,1,56.2,0,0.0026,3,0.09,3,0.0,1,1.00,3,388.2,0,4.4,1,422.5,0,67,1,1276.6,1,63.8,3,72.1,2,2.0,2,66.7,2
Michigan,MI,25,47.2,1,19.5,0,33,38.6,1,27,53.9,1,27,36.8,1,42,27.6,1,33,84.8,3,3,38.7,1,29,48.8,1,31,56.5,2,10,40.1,2,26,35.9,1,33,75.4,1,23,48.6,0,29,68.2,2,10,34.0,0,28,38,0,12.8,1,0,0,15.0,1,0,0,13.8,0,2.7,2,7.4,2,21.0,1,14.3,1,32.1,1,23.7,3,43.8,1,56.3,1,17.7,2,174.6,2,55.9,1,7.2,0,78.0,1,0.36,1,443.0,1,20.4,1,20.4,1,13.0,2,1.3,2,7.5,2,79.7,1,61.3,1,31.8,1,63,1,77.5,1,79.7,0,48.3,1,75.6,1,98.9,0,95.0,2,2,1,25.0,1,37.6,1,78.3,1,40.8,2,92.9,3,0.34,3,0.184,3,5.4,3,0.522,1,32,0,6.5,2,7.3,1,29.1,1,3.9,1,27.1,1,71.2,1,12.6,1,1.94,2,6.0,2,7.0,0,4.0,2,1043.3,3,64.9,1,11.1,1,77.8,1,24.2,2,21,1,4.2,3,7.3,2,81.3,3,0.470,0,0.28,2,3.3,1,55.6,1,5.4,2,4.1,0,1.7,2,41,1,8.7,1,49.4,1,1241.6,1,0.0015,2,35.1,1,2,1,17.0,1,36.2,2,26,0,0,0,68.4,1,1,3,16.4,0,0.0,0,81.0,2,0.1285,0,0.43,3,0.9,1,1.00,3,46.6,2,7.5,2,885.9,0,51,0,4701.3,0,43.5,2,70.4,2,6.0,0,64.3,1
Minnesota,MN,4,58.6,2,34.9,0,12,52.2,2,7,74.9,2,1,47.9,1,20,39.4,2,9,87.7,3,1,50.9,1,16,78.6,2,5,61.2,2,7,38.9,0,29,48.3,2,11,83.5,2,12,59.7,0,19,68.2,2,11,52.9,2,4,36,0,9.5,2,0,0,9.9,3,0,0,56.5,2,1.9,2,3.9,3,23.9,1,9.7,2,27.2,2,31.7,2,66.5,2,63.4,2,12.6,3,171.3,2,47.7,0,5.1,1,80.8,3,0.18,3,305.6,3,10.6,3,15.2,2,12.4,2,3.2,1,6.9,3,83.8,2,63.1,3,40.1,2,68,0,84.6,2,82.2,1,46.2,1,81.2,2,96.8,0,96.2,3,4,3,32.3,2,42.5,0,83.0,2,37.0,1,96.4,3,0.31,3,0.243,3,1.3,3,0.497,1,37,0,6.0,2,14.5,2,72.2,2,3.9,1,16.2,2,81.1,3,7.5,3,2.07,2,3.4,2,4.0,3,2.8,3,703.8,1,69.2,2,6.0,2,85.4,3,28.3,3,15,2,2.5,2,6.8,2,76.3,2,0.450,1,0.18,2,3.6,0,70.0,0,4.1,3,7.1,1,2.2,2,62,2,7.5,2,45.7,1,301.9,2,0.0028,2,45.3,1,3,2,8.5,2,55.6,2,57,1,1,3,68.9,2,1,3,16.0,0,0.0,0,60.0,0,0.0134,3,1.11,1,0.2,1,1.00,3,37.9,2,6.6,1,436.6,0,62,1,5294.5,0,54.6,3,74.2,3,1.8,2,68.7,2
Mississippi,MS,49,31.6,0,5.8,0,49,12.6,0,50,26.2,0,50,35.6,0,44,25.5,1,34,79.9,3,10,28.4,0,41,9.6,0,50,18.1,0,50,26.6,0,50,30.9,0,44,61.9,0,39,26.9,0,49,66.7,2,14,18.8,0,47,51,1,19.2,0,0,0,20.8,0,0,0,6.7,0,4.9,0,11.9,0,22.0,1,18.7,0,37.3,0,39.0,1,24.7,0,52.3,1,32.6,0,374.0,1,41.2,0,9.5,0,74.7,0,0.54,0,607.3,0,12.3,2,22.7,1,13.3,2,1.8,2,22.4,0,80.3,1,59.6,0,23.0,0,60,1,87.9,2,82.3,1,54.0,2,62.8,0,89.6,0,95.8,2,2,1,14.9,0,37.4,1,75.3,1,41.6,2,87.9,3,0.46,3,0.035,3,10.1,2,0.417,2,31,0,12.0,0,6.4,1,14.4,1,4.5,2,62.4,0,65.2,0,17.0,0,0.41,0,12.6,0,7.7,0,9.3,0,802.1,2,46.0,0,12.3,1,75.2,0,5.9,0,28,1,0.9,1,3.3,0,30.2,0,0.483,0,0.60,0,1.2,2,42.3,2,11.8,0,2.0,0,2.4,2,22,0,7.5,2,48.1,1,1208.3,1,0.0026,2,52.4,0,1,0,32.9,0,63.6,1,3,0,0,0,65.7,1,0,0,21.8,0,0.0,0,92.7,3,0.1844,0,3.28,0,-0.8,0,1.00,3,22.6,3,4.1,1,1352.0,0,61,1,8417.2,0,14.7,0,61.1,0,8.0,0,67.7,2
Missouri,MO,35,42.6,1,20.4,0,32,33.3,1,34,42.6,1,42,46.6,2,27,35.8,1,19,62.3,2,38,35.1,0,33,48.8,2,32,39.1,1,37,40.6,1,25,36.9,1,32,70.5,0,31,41.7,0,36,61.8,2,19,23.9,0,41,43,1,13.4,1,0,0,14.0,1,0,0,18.9,0,3.1,1,5.5,2,21.7,1,14.2,1,31.1,1,39.7,1,46.6,1,51.5,1,23.4,1,234.0,2,17.0,0,6.7,0,77.4,1,0.37,1,460.4,1,17.9,2,22.1,1,15.8,1,1.4,2,12.1,1,81.0,1,60.7,1,33.7,2,57,2,67.0,0,89.0,3,44.9,1,77.0,2,99.6,0,95.2,2,4,3,23.4,1,34.6,1,78.5,1,38.7,1,29.2,0,0.40,3,0.135,3,11.1,2,0.797,0,28,0,7.0,2,5.3,1,44.8,2,4.5,2,35.2,1,73.2,2,11.5,2,0.82,1,8.5,1,5.5,2,4.8,2,865.0,2,61.8,1,13.1,1,79.9,2,10.4,1,24,1,2.5,2,5.6,1,77.5,2,0.465,0,0.39,1,2.0,1,44.6,2,8.9,1,3.7,0,1.7,2,34,1,8.3,1,43.7,1,973.8,1,0.0024,2,55.0,0,2,1,26.1,0,59.4,2,73,2,0,0,66.1,1,0,0,20.3,0,0.0,0,98.7,3,0.0247,3,1.62,1,-0.4,0,1.00,3,37.7,2,3.3,1,1074.2,0,62,1,5311.6,0,31.7,1,58.1,0,8.8,0,64.8,1
